benchmark,run,result
quadratic,baseline,785
quadratic,crude-roundtrip,5309
montgomery,baseline,17
montgomery,crude-roundtrip,47
primes-between,baseline,574100
primes-between,crude-roundtrip,incorrect
mod_pow,baseline,243
mod_pow,crude-roundtrip,1408
orders,baseline,5352
orders,crude-roundtrip,incorrect
sum-check,baseline,5018
sum-check,crude-roundtrip,17042
palindrome,baseline,298
palindrome,crude-roundtrip,1820
rot13,baseline,8
rot13,crude-roundtrip,21
totient,baseline,253
totient,crude-roundtrip,1656
fib_recursive,baseline,2693
fib_recursive,crude-roundtrip,18218
relative-primes,baseline,1923
relative-primes,crude-roundtrip,18776
hanoi,baseline,99
hanoi,crude-roundtrip,310
is-decreasing,baseline,127
is-decreasing,crude-roundtrip,719
check-primes,baseline,8468
check-primes,crude-roundtrip,70463
sum-sq-diff,baseline,3038
sum-sq-diff,crude-roundtrip,13993
fitsinside,baseline,10
fitsinside,crude-roundtrip,18
hamming,baseline,117
hamming,crude-roundtrip,365
fact,baseline,229
fact,crude-roundtrip,861
loopfact,baseline,116
loopfact,crude-roundtrip,564
recfact,baseline,104
recfact,crude-roundtrip,481
geometric-sum,baseline,35
geometric-sum,crude-roundtrip,187
factors,baseline,72
factors,crude-roundtrip,423
perfect,baseline,232
perfect,crude-roundtrip,1856
binpow,baseline,105
binpow,crude-roundtrip,428
bitshift,baseline,167
bitshift,crude-roundtrip,933
digital-root,baseline,247
digital-root,crude-roundtrip,836
up-arrow,baseline,252
up-arrow,crude-roundtrip,1357
mccarthy91,baseline,1385
mccarthy91,crude-roundtrip,3981
sum-divisors,baseline,159
sum-divisors,crude-roundtrip,956
permutation,baseline,130
permutation,crude-roundtrip,603
combination,baseline,178
combination,crude-roundtrip,630
ackermann,baseline,1464231
ackermann,crude-roundtrip,7669129
pythagorean_triple,baseline,61518
pythagorean_triple,crude-roundtrip,339483
euclid,baseline,563
euclid,crude-roundtrip,2160
bbs,baseline,137
bbs,crude-roundtrip,367
binary-fmt,baseline,100
binary-fmt,crude-roundtrip,299
lcm,baseline,2326
lcm,crude-roundtrip,6628
gcd,baseline,46
gcd,crude-roundtrip,280
catalan,baseline,659378
catalan,crude-roundtrip,4231827
armstrong,baseline,133
armstrong,crude-roundtrip,556
pascals-row,baseline,146
pascals-row,crude-roundtrip,644
collatz,baseline,169
collatz,crude-roundtrip,977
sum-bits,baseline,73
sum-bits,crude-roundtrip,229
sqrt_bin_search,baseline,744
sqrt_bin_search,crude-roundtrip,5640
rectangles-area-difference,baseline,14
rectangles-area-difference,crude-roundtrip,36
mod_inv,baseline,558
mod_inv,crude-roundtrip,3961
karatsuba,baseline,1548
karatsuba,crude-roundtrip,7729
reverse,baseline,46
reverse,crude-roundtrip,274
fizz-buzz,baseline,3652
fizz-buzz,crude-roundtrip,43428
bitwise-ops,baseline,1690
bitwise-ops,crude-roundtrip,7948
sum-digits,baseline,219
sum-digits,crude-roundtrip,967
delannoy,baseline,5748752
delannoy,crude-roundtrip,timeout
